id,full_name,dob,job,sal,deptno
71,Aaron,1911-07-11,"Journalist, magazine",7806285,103
72,Sheila,1976-10-30,"Psychologist, sport and exercise",3019552,109
73,Hannah,1973-03-28,Fitness centre manager,8041287,108
74,John,1989-06-14,Dance movement psychotherapist,4246708,108
75,Anthony,1994-06-19,Claims inspector/assessor,9471526,103
76,Elijah,1974-07-13,Water quality scientist,6364934,102
77,Victoria,1967-06-23,Health physicist,3789540,107
78,Jennifer,1951-06-22,Civil Service fast streamer,8463188,104
79,Andrea,2021-11-19,"Production assistant, television",5648382,100
80,Amy,1939-06-26,Glass blower/designer,5143973,110
81,Roger,1943-07-05,Jewellery designer,3994689,101
82,Bill,1924-02-14,Learning mentor,6290637,106
83,Kevin,1912-03-27,"Engineer, site",9334256,106
84,Richard,1946-11-06,"Engineer, maintenance (IT)",6351366,106
85,Ariana,1955-01-20,Housing manager/officer,2555053,107
86,Louis,2022-09-09,Learning mentor,6551365,104
87,Jennifer,1949-09-30,Archaeologist,5021972,109
88,Dustin,1920-01-04,"Accountant, chartered public finance",2104529,110
89,Ariel,1979-11-17,Quarry manager,8999709,110
90,James,1929-08-03,General practice doctor,8495198,101
91,Jessica,1989-06-03,Agricultural consultant,1091876,110
92,Donna,2022-10-22,"Teacher, secondary school",758427,109
93,Andrea,2009-11-07,Technical sales engineer,5478852,104
94,Gary,2016-05-17,Financial risk analyst,3288177,107
95,Michelle,1964-08-15,"Geneticist, molecular",4842229,105
96,Michelle,1996-09-12,Geophysical data processor,7902834,102
97,Joshua,1954-05-10,Financial adviser,6225462,107
98,Haley,1989-07-17,"Education officer, environmental",5101546,106
99,Amanda,2019-04-22,Town planner,4950615,106
